volid,filename,title,enumcron
uc1.c109525385,athenaeum,The Athenaeum,
umn.31951001922977l,athenaeum,The Athenaeum,
njp.32101077276564,athenaeum,The Athenaeum,
umn.31951001922963w,athenaeum,The Athenaeum,
umn.31951001922999b,athenaeum,The Athenaeum,
coo.31924106553534,athenaeum,The Athenaeum,
uc1.c3470720,athenaeum,The Athenaeum,
njp.32101077276523,athenaeum,The Athenaeum,
nyp.33433081670816,athenaeum,The Athenaeum,
uc1.c3470757,athenaeum,The Athenaeum,
njp.32101077276507,athenaeum,The Athenaeum,
njp.32101041910140,athenaeum,The Athenaeum,
uc1.$c108341,athenaeum,The Athenaeum,
hvd.hw367p,athenaeum,The Athenaeum,
uc1.c109524798,athenaeum,The Athenaeum,
uc1.c109524895,athenaeum,The Athenaeum,
uc1.$c108349,athenaeum,The Athenaeum,
uc1.l0074099607,athenaeum,The Athenaeum,
nyp.33433104867639,athenaeum,The Athenaeum,"(v. 134, no. 4262-4287 (July-Dec. 1909))"
nyp.33433081670808,athenaeum,The Athenaeum,
uc1.l0089358113,athenaeum,The Athenaeum,
uc1.b3054057,booklistandsubscription,Booklist and Subscription Books Bulletin,(v.64:1-12)
uc1.b2958014,booklistandsubscription,Booklist and Subscription Books Bulletin,(v.34 (Sept 1937-Aug 1938))
uc1.b3054047,booklistandsubscription,Booklist and Subscription Books Bulletin,(v.55)
uiug.30112064437764,booklistandsubscription,Booklist and Subscription Books Bulletin,
uc1.b3054049,booklistandsubscription,Booklist and Subscription Books Bulletin,(v.57)
uc1.b3054048,booklistandsubscription,Booklist and Subscription Books Bulletin,(v.56 (Sept 1959-Aug 1960))
uc1.b2956766,booklistandsubscription,Booklist and Subscription Books Bulletin,(v.9 1912-13)
uc1.b2956776,booklistandsubscription,Booklist and Subscription Books Bulletin,(v.19 1922-23)
uc1.$b627372,booklistandsubscription,Booklist and Subscription Books Bulletin,
uc1.b2958020,booklistandsubscription,Booklist and Subscription Books Bulletin,(v.40 1943-44)
uc1.b3054055,booklistandsubscription,Booklist and Subscription Books Bulletin,(v.63:1-12)
uc1.b2956781,booklistandsubscription,Booklist and Subscription Books Bulletin,(v.24)
uc1.b2958027,booklistandsubscription,Booklist and Subscription Books Bulletin,(v.52 1955-56)
uc1.b2956765,booklistandsubscription,Booklist and Subscription Books Bulletin,(v.8 1911-12)
uc1.b2956762,booklistandsubscription,Booklist and Subscription Books Bulletin,(v.5 (1909))
uc1.l0060121316,booklistandsubscription,Booklist and Subscription Books Bulletin,(v.10)
uiug.30112110963243,booklistandsubscription,Booklist and Subscription Books Bulletin,
uc1.b3054053,booklistandsubscription,Booklist and Subscription Books Bulletin,(v.61)
uc1.b2956770,booklistandsubscription,Booklist and Subscription Books Bulletin,(v.13 1916-17)
uc1.b2958015,booklistandsubscription,Booklist and Subscription Books Bulletin,(v.35 1938-39)
uc1.b3054056,booklistandsubscription,Booklist and Subscription Books Bulletin,(v.63:13-23)
uiug.30112064437772,booklistandsubscription,Booklist and Subscription Books Bulletin,
uc1.b2956775,booklistandsubscription,Booklist and Subscription Books Bulletin,(v.18 1921-22)
uc1.b2956767,booklistandsubscription,Booklist and Subscription Books Bulletin,(v.10 1913-14)
uc1.b3054058,booklistandsubscription,Booklist and Subscription Books Bulletin,(v.64:13-23)
uc1.b3054052,booklistandsubscription,Booklist and Subscription Books Bulletin,(v.60)
uc1.b3054045,booklistandsubscription,Booklist and Subscription Books Bulletin,(v.53 (Sept 1956-Aug 1957))
uc1.b3054054,booklistandsubscription,Booklist and Subscription Books Bulletin,(v.62)
uc1.b2956780,booklistandsubscription,Booklist and Subscription Books Bulletin,(v.23)
uc1.b2958024,booklistandsubscription,Booklist and Subscription Books Bulletin,(v.47-48 1950-52)
uc1.b2958011,booklistandsubscription,Booklist and Subscription Books Bulletin,(v.31 1934-35)
uc1.l0058510694,booklistandsubscription,Booklist and Subscription Books Bulletin,(v.09)
uc1.b3054051,booklistandsubscription,Booklist and Subscription Books Bulletin,(v.59)
uc1.b2956785,booklistandsubscription,Booklist and Subscription Books Bulletin,(v.28 1931-32)
uc1.b2958022,booklistandsubscription,Booklist and Subscription Books Bulletin,(v.43-44)
uc1.b3054046,booklistandsubscription,Booklist and Subscription Books Bulletin,(v.54 (Sept 1957-Aug 1958))
uc1.b2956763,booklistandsubscription,Booklist and Subscription Books Bulletin,(v.6 (1910))
uc1.b2958019,booklistandsubscription,Booklist and Subscription Books Bulletin,(v.39)
uc1.b2956769,booklistandsubscription,Booklist and Subscription Books Bulletin,(v.12 1915-16)
uc1.b2956783,booklistandsubscription,Booklist and Subscription Books Bulletin,(v.26 1929-30)
uc1.b2956761,booklistandsubscription,Booklist and Subscription Books Bulletin,(v.4 1908)
uc1.b2956779,booklistandsubscription,Booklist and Subscription Books Bulletin,(v.22)
uc1.b2956768,booklistandsubscription,Booklist and Subscription Books Bulletin,(v.11 1914-15)
mdp.39015014516655,booklistandsubscription,Booklist and Subscription Books Bulletin,
uc1.b2956764,booklistandsubscription,Booklist and Subscription Books Bulletin,(v.7 1910-11)
uc1.b2956782,booklistandsubscription,Booklist and Subscription Books Bulletin,(v.25 1928-29)
uc1.b2958010,booklistandsubscription,Booklist and Subscription Books Bulletin,(v.30 1933-34)
uc1.b2956774,booklistandsubscription,Booklist and Subscription Books Bulletin,(v.17 1920-21)
uc1.b2958012,booklistandsubscription,Booklist and Subscription Books Bulletin,(v.32 1935-36)
uc1.b2958021,booklistandsubscription,Booklist and Subscription Books Bulletin,(v.41 1944-45)
uc1.b2958025,booklistandsubscription,Booklist and Subscription Books Bulletin,(v.49-50 1952-54)
uc1.b2956773,booklistandsubscription,Booklist and Subscription Books Bulletin,(v.16 1919-20)
uc1.b2956771,booklistandsubscription,Booklist and Subscription Books Bulletin,(v.14 (1917))
