"volid"	"filename"	"title"	"enumcron"	"year"
"uc1.32106020065154"	"brd"	"Book Review Digest"		"index1905-74"
"uc1.32106020065188"	"brd"	"Book Review Digest"		"index1905-75"
"pst.000052260469"	"brd"	"Book Review Digest"		"index1922-26"
"pst.000052260612"	"brd"	"Book Review Digest"		"index1937-41"
"pst.000052260827"	"brd"	"Book Review Digest"		"index1957-61"
"mdp.39015078261784"	"brd"	"Book Review Digest"	"(1975-1984 index)"	"index1975-84"
"inu.30000114364403"	"brd"	"Book Review Digest"		
"inu.30000114364353"	"brd"	"Book Review Digest"		
"inu.30000114364338"	"brd"	"Book Review Digest"		
"inu.30000114363819"	"brd"	"Book Review Digest"		
"inu.30000114364247"	"brd"	"Book Review Digest"		
"inu.30000114364296"	"brd"	"Book Review Digest"		
"inu.30000114363884"	"brd"	"Book Review Digest"		
"inu.30000114363892"	"brd"	"Book Review Digest"		
"inu.30000114364312"	"brd"	"Book Review Digest"		
"inu.30000114363868"	"brd"	"Book Review Digest"		
"inu.30000114363876"	"brd"	"Book Review Digest"		
"inu.30000114364254"	"brd"	"Book Review Digest"		
"inu.30000114364304"	"brd"	"Book Review Digest"		
"inu.30000114364395"	"brd"	"Book Review Digest"		
"inu.30000114364270"	"brd"	"Book Review Digest"		
"pst.000052260414"	"brd"	"Book Review Digest"		
"inu.30000114364379"	"brd"	"Book Review Digest"		
"inu.30000114364288"	"brd"	"Book Review Digest"		
"uc1.32106020065170"	"brd"	"Book Review Digest"		
"inu.30000114364361"	"brd"	"Book Review Digest"		
"inu.30000114363934"	"brd"	"Book Review Digest"		
"uc1.32106019850244"	"brd"	"Book Review Digest"	"(1909)"	
"uiug.30112013681637"	"brd"	"Book Review Digest"	"(v.12(1916-1917))"	
"inu.30000114364320"	"brd"	"Book Review Digest"		
"mdp.39015078260935"	"brd"	"Book Review Digest"	"(v.1 1905)"	
"mdp.39015078261057"	"brd"	"Book Review Digest"	"(v.14 1918)"	
"nyp.33433082016746"	"brd"	"Book Review Digest"		
"uc1.b3607833"	"brd"	"Book Review Digest"		
"mdp.39015078261545"	"brd"	"Book Review Digest"	"(1962-1965 index)"	
"mdp.39015064843611"	"brd"	"Book Review Digest"	"(2005)"	2005
"uc1.32106019850228"	"brd"	"Book Review Digest"	"(1907)"	
"uc1.32106019850343"	"brd"	"Book Review Digest"	"(1919)"	
"nyp.33433082016555"	"brd"	"Book Review Digest"		
