author	date	titlewords
fisher, dorothy canfield	1937	parents fables
fisher, dorothy canfield	1939	seasoned timber
fisher, dorothy canfield	1931	decorations basque
fisher, dorothy canfield	1922	rough-hewn
fisher, dorothy canfield	1933	bonfire
coolidge, dane	1925	texas) riders lorenzo magnificent
coolidge, dane	1938	hell's pocket
coolidge, dane	1937	trail
coolidge, dane	1940	bloody
coolidge, dane	1924	scalp-lock
coolidge, dane	1939	wally laughs-easy
coolidge, dane	1928	gun-smoke
coolidge, dane	1929	paint
gribble, leonard r. (leonard reginald)	1937	diamonds malverne
underwood, edna (worthley), mrs	1919	balkans stories
underwood, edna (worthley), mrs	1922	penitent
van dyke, henry	1919	soldier france illustrations frank schoonover
van dyke, henry	1919	romance tales valley vision half-told
st. martin, thaddeus	1936	madame wedding toussaint's
blasco ibáñez, vicente	1923	ongley temptress tierra ibañes todos)
blasco ibáñez, vicente	1918	apocalypse apocalipsis) jordan jinetes horsemen charlotte cuatro brewster
blasco ibáñez, vicente	1928	columbus lands
blasco ibáñez, vicente	1919	frances [translated partridge]
blasco ibáñez, vicente	1921	seashore valencian mayo) (flor mayflower
blasco ibáñez, vicente	1920	enemies
blasco ibáñez, vicente	1928	"barro."" ""cañas"
blasco ibáñez, vicente	1919	ibañez
blasco ibáñez, vicente	1919	nostrum
blasco ibáñez, vicente	1921	naranjos) torrent (entre
blasco ibáñez, vicente	1919	vine) fruit bodega
blasco ibáñez, vicente	1927	"horda"""
blasco ibáñez, vicente	1928	intruder intruso)
atherton, gertrude franklin horn	1928	jealous processional alcibiades) (concerning
atherton, gertrude franklin horn	1929	hearts
atherton, gertrude franklin horn	1919	mystery
atherton, gertrude franklin horn	1927	immortal
atherton, gertrude franklin horn	1918	german wartime
atherton, gertrude franklin horn	1922	fires sleeping
atherton, gertrude franklin horn	1931	sophisticates
atherton, gertrude franklin horn	1936	peacock
atherton, gertrude franklin horn	1925	crystal
atherton, gertrude franklin horn	1921	sisters-in
atherton, gertrude franklin horn	1934	dorothy foreword grover illustration
atherton, gertrude franklin horn	1934	stories
seaver, edwin	1937	anvil hammer
seaver, edwin	1948	humor american pageant
mcfarland, raymond	1937	gloucester recollections masts fisherman
begbie, harold	1922	comedy laughter interferences
begbie, harold	1919	sterling convictions novel christopher
skelton, charles l	1937	quinn illustrated express riding
bridges, victor	1922	mystery coast greensea
