author	bookid	bpoids	genres	htrcids	subjects	title	is_fic
Lytton Edward Robert Bulwer Lytton	B4958	{4362520}		{'uc2.ark+=13960=t4vh5cq8j'}	{'English fiction'}	The ring of Amasis	
Wood Ellen	B8841	{9426749, 4363886}		{'uiuo.ark+=13960=t13n2tk4s', 'uiuo.ark+=13960=t93781k15', 'uiuo.ark+=13960=t81k02w2m'}	{'Provenance', 'English fiction', '823W85S', 'Hixson, Virgil I'}	The shadow of Ashlydyat	
Blake Cecilia	B702	{9434167}		{'nyp.33433074940663'}	{'English fiction'}	Cecile Raye an autobiography	
Phillpotts Eden	B6553	{8847610, 3169981}		{'nyp.33433075766588'}	{'English fiction'}	Children of the mist	
WhyteMelville G J George John	B8623	{8565286}		{'nyp.33433075767537'}	{'English fiction'}	Contraband or A losing hazard	
Bateman J C Mrs	B665	{8485640, 9465368, 4845989}		{'nyp.33433074937008'}	{'English fiction'}	The two families or The power of religion	
Behn Aphra	B346	{9020195}		{'mdp.49015000582479', 'mdp.39015005488153', 'mdp.39015066064588'}	{'English fiction'}	The novels of Mrs Aphra Behn	
Hunt Violet	B3715	{2433787}		{'nyp.33433074872114'}	{'English fiction'}	The celebritys daughter	
Scott Walter Sir	B7308	{4993632, 4702113, 4704225, 4993601, 5240130, 5207105, 4707361, 4695575, 4988617, 4996555, 3259599, 4700690, 4995799, 4708696, 4692380, 5206557}	{'Bibliographies', 'Novel'}	{'hvd.hwadvh', 'uc1.b3332244', 'mdp.39015065779483', 'hvd.hwadvf', 'uc1.b3328842', 'nyp.33433081997706', 'mdp.39015031453080', 'mdp.39015065779434', 'uc1.32106007305094', 'hvd.hwadvd', 'uc1.b3507749', 'nyp.33433082123948', 'nyp.33433081997680', 'inu.32000007001516', 'uc1.32106019479192', 'mdp.39015065779673', 'mdp.39015065779657', 'uc1.b3332232', 'mdp.39015031944781', 'nyp.33433082122635', 'uva.x030584663', 'hvd.hn3n6a', 'nyp.33433081997540', 'mdp.39015031982260', 'hvd.hwadbc', 'mdp.39015065779830', 'nyp.33433081997615', 'nyp.33433081997516', 'nyp.33433081998209', 'nyp.33433081997870', 'uc1.b3314561', 'njp.32101063582710', 'uc1.b3507754', 'hvd.hn3n64', 'uva.x030584567', 'hvd.hn3n61', 'nyp.33433081996427', 'mdp.39015031453205', 'uc1.32106019479184', 'uva.x000612137', 'uc1.32106019479382', 'njp.32101063582728', 'uc1.b3314553', 'nyp.33433081997581', 'nyp.33433076078843', 'uva.x030584590', 'uc1.b3332249', 'uva.x030584584', 'hvd.hwadbd', 'nyp.33433082123823', 'uc1.b3332236', 'uva.x030584585', 'uva.x030584577', 'uc1.b3314565', 'hvd.hwaduj', 'nyp.33433081998225', 'uva.x030584610', 'hvd.hwadai', 'mdp.39015066595748', 'uc1.32106012674641', 'mdp.39015066595813', 'njp.32101063582736', 'uva.x030584656', 'uva.x030584573', 'nyp.33433082123864', 'uc1.b3572096', 'mdp.39015069268624', 'mdp.39015008736541', 'uc2.ark+=13960=t07w6bm0d', 'mdp.39015031453494', 'uva.x030584566', 'mdp.39015028390139', 'nyp.33433081996948', 'nyp.33433082122700', 'njp.32101075689610', 'uva.x030584662', 'uc1.b3332210', 'uc1.b3314554', 'nyp.33433081996294', 'uc1.32106011109433', 'nyp.33433081997714', 'uc1.32106019479259', 'nyp.33433067367205', 'mdp.39015065779509', 'nyp.33433082001201', 'uc1.32106019479267', 'njp.32101075689628', 'njp.32101063582652', 'uva.x030166157', 'uc1.b3505975', 'nyp.33433081997672', 'mdp.39015069268616', 'uva.x030584620', 'hvd.hwaduu', 'uva.x030584569', 'nyp.33433082001235', 'uva.x004538736', 'mdp.39015031944799', 'mdp.39015008531827', 'uva.x030584601', 'uc1.32106019479119', 'nyp.33433081997664', 'mdp.39015031453734', 'uc1.32106019479085', 'hvd.hn3n5t', 'uc1.32106019479309', 'nyp.33433082122577', 'hvd.hwadv9', 'hvd.hwadak', 'uc1.b3328828', 'uva.x030584593', 'uc1.b3332226', 'uc1.b3332245', 'mdp.39015041912489', 'uc1.32106014800152', 'uc1.b3314555', 'uva.x030584572', 'hvd.hwadc1', 'uc1.b3332239', 'uc1.b3314564', 'hvd.hn3n6b', 'hvd.hwadba', 'nyp.33433081996328', 'uc1.b3332230', 'hvd.hwadc2', 'uc1.b3505973', 'hvd.hn3n67', 'hvd.hwadaj', 'uva.x030584568', 'nyp.33433082122726', 'nyp.33433082001227', 'hvd.hn3n65', 'nyp.33433081996310', 'mdp.39015041912539', 'nyp.33433081997524', 'mdp.39015031453726', 'uva.x030584575', 'nyp.33433081997649', 'hvd.hwadam', 'njp.32101075689578', 'nyp.33433082122734', 'mdp.39015065779541', 'nyp.33433081997557', 'mdp.39015031453452', 'uva.x030584597', 'mdp.39015031453114', 'mdp.39015069268681', 'hvd.hwadvi', 'njp.32101063582777', 'uva.x030584581', 'uc1.b3328846', 'mdp.39015067230295', 'nyp.33433081996518', 'uc1.b3328859', 'uc1.b3314562', 'wu.89095181335', 'uva.x030584664', 'njp.32101063582611', 'uva.x030584611', 'hvd.hn3n5l', 'uva.x030584576', 'hvd.hwaduk', 'njp.32101063582074', 'nyp.33433082123781', 'nyp.33433081996922', 'uc1.b3505979', 'uc1.32106009835718', 'uc1.b3507745', 'hvd.hwadc3', 'nyp.33433076078850', 'nyp.33433076078819', 'hvd.hwadb7', 'uc1.b3507753', 'uc1.b3332241', 'hvd.hwadus', 'nyp.33433076078835', 'hvd.hwadap', 'uva.x030584587', 'uc1.32106019479077', 'uc1.b3332248', 'uc1.b3328851', 'njp.32101063582645', 'nyp.33433081996351', 'nyp.33433081996344', 'mdp.39015065779624', 'uc1.b3507748', 'inu.30000041659057', 'wu.89095180774', 'uc1.32106019479317', 'hvd.hn3n5v', 'nyp.33433081997821', 'uc1.32106019479275', 'nyp.33433081998191', 'uc1.b3507752', 'mdp.39015008361274', 'nyp.33433082122643', 'inu.32000006981809', 'hvd.hwadul', 'njp.32101075689594', 'wu.89095180832', 'uva.x001639023', 'hvd.hwadbb', 'hvd.hn3n5u', 'hvd.hn3n5x', 'uva.x030584589', 'uva.x030584600', 'hvd.hwadbz', 'hvd.hwadb8', 'uc1.b3332238', 'uva.x030584616', 'nyp.33433082001250', 'uva.x030584571', 'uc1.32106019479044', 'nyp.33433081997847', 'nyp.33433082122585', 'njp.32101063582694', 'nyp.33433061579466', 'njp.32101075689586', 'nyp.33433082122668', 'mdp.39015065779640', 'njp.32101075689602', 'mdp.39015031453163', 'uc1.b3332223', 'uc1.b3332231', 'mdp.39015031944807', 'hvd.hwad9y', 'uc1.32106019479127', 'nyp.33433081996526', 'mdp.39015031453460', 'mdp.39015031453486', 'nyp.33433081995049', 'mdp.39076005019059', 'hvd.hwaduq', 'inu.30000048909414', 'mdp.39015008577747', 'uc1.b3332213', 'uc1.32106019479366', 'mdp.39015031453072', 'nyp.33433082122619', 'mdp.39076005019067', 'mdp.39015041912471', 'uc1.b3332233', 'nyp.33433081996260', 'mdp.39015065779699', 'njp.32101063582702', 'uc1.b3505972', 'mdp.39015041912463', 'nyp.33433081997599', 'nyp.33433076078827', 'uc1.32106007818328', 'uc1.32106019479069', 'mdp.39015069268657', 'uc1.32106019479374', 'uc1.b3332235', 'inu.32000007001565', 'nyp.33433076078868', 'nyp.33433081997607', 'hvd.hn3mkk', 'hvd.hwadbw', 'hvd.hn3n5w', 'nyp.33433082122593', 'uc1.32106019479150', 'nyp.33433082122742', 'nyp.33433081996278', 'hvd.hwadut', 'uc1.32106014795576', 'uc1.32106019479390', 'uc1.b3332243', 'mdp.39015041912505', 'nyp.33433081997805', 'uc1.b3314552', 'uc1.32106019479358', 'mdp.39015069268673', 'inu.30000035014889', 'nyp.33433081996377', 'uc1.32106019479226', 'uc1.b3332219', 'nyp.33433081996419', 'uc1.b3507750', 'mdp.39015031453130', 'nyp.33433081995023', 'nyp.33433082123807', 'mdp.39015031453692', 'hvd.hwadan', 'wu.89095181186', 'nyp.33433081996369', 'mdp.39015031453171', 'nyp.33433082123930', 'nyp.33433081997797', 'nyp.33433082123856', 'nyp.33433076078876', 'nyp.33433081997532', 'hvd.hn3n5p', 'njp.32101063582660', 'mdp.39015005680775', 'mdp.39015066595763', 'uva.x030584606', 'mdp.39015031453437', 'mdp.39015028390121', 'uva.x030584657', 'uc1.32106019479325', 'uc1.32106019479028', 'uc1.b3332214', 'nyp.33433082122718', 'nyp.33433081998183', 'nyp.33433081997631', 'mdp.39015069268590', 'uc1.b3332229', 'uc1.32106019479143', 'nyp.33433082122627', 'njp.32101075689651', 'inu.30000041659677', 'uc1.32106019479002', 'mdp.39015031453122', 'uc1.32106015161943', 'hvd.hwadvg', 'uc1.b3507751', 'mdp.39015031453478', 'hvd.hn3n6c', 'uc1.b3332220', 'hvd.hwadum', 'uva.x001611504', 'uc1.b3314556', 'nyp.33433082123914', 'mdp.39015031944773', 'nyp.33433081997755', 'uc1.32106005752131', 'uc1.32106019479036', 'uva.x030584605', 'hvd.hn3n5s', 'uc1.b3328821', 'uc1.b3505976', 'nyp.33433082123765', 'uc1.b3328848', 'nyp.33433082123773', 'nyp.33433081997862', 'inu.32000007001581', 'mdp.39015031453700', 'mdp.39015066595821', 'mdp.39015041912513', 'wu.89099786303', 'mdp.39015065779665', 'nyp.33433081997854', 'mdp.39015066595797', 'uc1.b3332237', 'nyp.33433081997698', 'nyp.33433082122684', 'uc1.32106019479408', 'uc1.32106019479291', 'wu.89095181301', 'uva.x030584579', 'hvd.hn3n5z', 'uc1.b3332227', 'mdp.39015008531835', 'njp.32101063582603', 'uva.x030584591', 'nyp.33433081997839', 'uc1.b3332221', 'mdp.39015065779475', 'nyp.33433082123799', 'inu.32000007279740', 'nyp.33433044691651', 'mdp.39015005686699', 'hvd.hn3n63', 'hvd.hn3n66', 'hvd.hn3n5y', 'nyp.33433081997763', 'uc1.b3332211', 'nyp.33433081998175', 'uva.x030132210', 'mdp.39015031453148', 'mdp.39015031453155', 'njp.32101075689636', 'uc1.32106009835726', 'mdp.39015066595805', 'uc1.b3328817', 'nyp.33433082123815', 'hvd.hwadvb', 'nyp.33433081997771', 'nyp.33433082122650', 'uva.x030584592', 'nyp.33433082123849', 'mdp.39015031453742', 'uva.x030584658', 'mdp.39015031453197', 'mdp.39015031453213', 'uc1.32106019479234', 'uc1.b3328822', 'uc1.b3505980', 'uva.x030584660', 'hvd.hwaduv', 'uc1.32106019479135', 'nyp.33433081996534', 'uc1.b3328829', 'uva.x030584578', 'mdp.39015065779632', 'hvd.hwadal', 'nyp.33433061579441', 'uc1.32106019479200', 'mdp.39015069268640', 'nyp.33433081997565', 'uva.x030584596', 'uc1.32106019479168', 'uva.x000825778', 'nyp.33433082123989', 'uc1.b3505977', 'nyp.33433081996930', 'mdp.39015041912497', 'uc1.32106019479093', 'nyp.33433081996336', 'uc1.32106006169780', 'wu.89000647750', 'hvd.hwadvc', 'hvd.hn3n68', 'mdp.39015031453445', 'nyp.33433082123831', 'mdp.39015031453189', 'uva.x030584594', 'hvd.hwadva', 'mdp.39015031453064', 'uva.x030584655', 'uva.x000214032', 'hvd.hwadu6', 'uva.x030584583', 'uva.x030584659', 'uva.x030584586', 'nyp.33433076047343', 'uc1.b3332222', 'mdp.39015041912521', 'mdp.39015069268632', 'hvd.hwadby', 'inu.32000006981833', 'uva.x030584599', 'hvd.hwadbx', 'njp.32101063582637', 'hvd.hn3n5r', 'nyp.33433082123955', 'uc1.32106011734313', 'mdp.39015031453098', 'hvd.hn3n5q', 'nyp.33433082001219', 'njp.32101063582629', 'inu.32000006981874', 'uva.x030584582', 'uc1.b3505974', 'hvd.hn3n69', 'nyp.33433081997573', 'nyp.33433081997623', 'uc1.32106019479101', 'njp.32101063582686', 'mdp.39015031944765', 'nyp.33433082123906', 'uva.x002399425', 'hvd.hn3n62', 'nyp.33433081996286', 'uc1.b3332242', 'nyp.33433082122692', 'hvd.hwadah', 'mdp.39015008637145', 'uc1.b3332225', 'mdp.39015065779491', 'nyp.33433082001243', 'nyp.33433082123872', 'nyp.33433081997656', 'nyp.33433082122601', 'uva.x030584615', 'uc1.b3332224', 'mdp.39015031453718', 'hvd.hwadup', 'wu.89099786261', 'uva.x030584595', 'uc1.b3505978', 'wu.89099786220', 'hvd.hn3n5n', 'uva.x030584603', 'uc1.b3328852', 'mdp.39015005680767', 'hvd.hwad9z', 'hvd.hwadur', 'uc1.32106019479176', 'mdp.39015031453106', 'uva.x000495695', 'hvd.hn3n5m', 'nyp.33433082122759', 'nyp.33433082122676', 'hvd.hwadb9', 'hvd.hwadun', 'mdp.39015066595771'}	{'Scottish authors', 'English fiction'}	Waverley novels	
Compton Herbert	B1551	{6768579}		{'nyp.33433074942776'}	{'English fiction', 'Caroline', 'Queen, consort of George IV, King of Great Britain', '1768-1821'}	The queen can do no wrong being some passages and personal opinions in the early life of Jimmy Rabbit	
