author	bookid	bpoids	genres	htrcids	subjects	title	is_fic
QuillerCouch Arthur Thomas Sir	B6840	{3158542}		{'uc1.b4104140'}	{'William and Mary, 1689-1702', 'III', 'Dutch War, 1672-1678', 'Ship captains', '1650-1702', 'King of England', 'Historical fiction', 'William', 'History'}	The blue pavilions	
Woods Margaret L Margaret Louisa	B8448	{6801016}		{'coo.31924065007316', 'coo.31924013240779'}	{'Peninsular War, 1807-1814'}	Sons of the sword a romance of the Peninsular War	
Worthington D	B8765	{3174347}		{'uc2.ark+=13960=t1vd6p911'}	{'Personal narratives, Confederate', 'United States', 'History', 'Civil War, 1861-1865'}	The broken sword	
Benson E F Edward Frederick	B724	{3198530}		{'nyp.33433082486048'}	{'World War, 1914-1918'}	Up and down	
Picard LB LouisBenoît	B6434	{8167383}		{'hvd.hwkm9c'}	{'Revolution, 1789-1799', 'History'}	The Gil Blas of the Revolution	
Spender Harold	B7489	{3174219}	{'History'}	{'nyp.33433075752265'}	{'Revolution, 1789-1799', 'History'}	At the sign of the guillotine	
Wentworth Patricia	B8620	{8917450, 2442750, 3202311}		{'nyp.33433075767438'}	{'Revolution, 1789-1799', 'History'}	A marriage under the terror	
McNeile H C Herman Cyril	B5274	{9344459, 3195812}		{'mdp.39015023145207'}	{'1914 - 1918', 'World War (1914-1918)', '(OCoLC)fst01180746', 'World War, 1914-1918'}	No Mans Land	
Howe Sonia Elizabeth	B3879	{3209761}		{'uc2.ark+=13960=t2j67j06j'}	{'Description and travel', 'Soviet Union', 'World War, 1914-1918'}	Real Russians	
Montague C E Charles Edward	B5240	{2447448}		{'mdp.39015000017817'}	{'World War, 1914-1918'}	Fiery particles	
Neale W Johnson William Johnson	B6082	{8620453}		{'inu.39000002352529'}	{'Crimean War, 1853-1856'}	The pride of the mess  a naval novel of the Crimean war	
Altsheler Joseph A Joseph Alexander	B168	{9512387}		{'uc2.ark+=13960=t5n873f8d'}	{'World War, 1914-1918'}	The guns of Europe	
Currey Edward Hamilton	B1443	{3298517}		{'njp.32101064788373'}	{'Naval operations', 'World War, 1914-1918'}	News of battle	
Chambers Robert W Robert William	B1799	{3181021, 8862366}		{'uc2.ark+=13960=t8rb6wq8k'}	{'Revolution, 1775-1783', 'History'}	The reckoning	
Dickens Charles	B2163	{8448312}	{'ContainsBiogMaterial', 'History', 'Historical fiction'}	{'mdp.49015002596832', 'uc1.b3549878'}	{'French fiction', 'Executions and executioners', 'London', 'Revolution, 1789-1799', 'Dickens, Charles', 'England', 'French', '1812-1870', 'Lookalikes', 'Fathers and daughters', 'History'}	A tale of two cities	
Blasco Ibáñez Vicente	B367	{3210143}		{'mdp.39015027190902'}	{'World War, 1914-1918'}	The four horsemen of the Apocalypse Los cuatro jinetes del Apocalipsis	
Parrish Randall	B6505	{8915911}		{'nnc1.cu58326820'}	{'French and Indian War, 1755-1763', 'History', 'United States', 'French and Indian War, 1754-1763'}	A sword of the old frontier  a tale of Fort Chartres and Detroit	
Keroubec Yvonne marquise de pseud	B4497	{3218943}	{'Autobiography'}	{'mdp.39015026100399'}	{'Revolution, 1789-1799', 'History'}	The memoires of the Marquise de Keroubec 17851858 being extracts from her diaries now presented to English readers for the first time	
De Forest John William	B2164	{8500512, 4382121, 8773746}		{'nc01.ark+=13960=t3mw2v80v'}	{'United States', 'History', 'Civil War, 1861-1865'}	Miss Ravenels conversion from secession to loyalty	
Borden Mary	B362	{2496124, 2457980}		{'mdp.39015016915939'}	{'Civilian relief', 'Hospitals', 'World War, 1914-1918'}	The forbidden zone	
