author	bookid	bpoids	genres	htrcids	subjects	title	is_fic	pubdate
Chisholm Louey	B1630	{3198968}	{'Juvenile audience'}	{'nyp.33433088074525'}	{'Storytelling', 'Fairy tales'}	A staircase of stories		1920
Rolleston T W Thomas William	B6949	{3184787}		{'njp.32101047678428'}	{'History and criticism', 'Mythology, Celtic', 'Celtic literature', 'Celts'}	Myths  legends of the Celtic r		1910
Eastman Charles Alexander	B2547	{6809928}		{'mdp.39015008812920'}	{'Dakota Indians', 'Legends'}	Red hunters and the animal peo		1904
Dasent George Webbe Sir	B2408	{3212648}		{'wu.89007383136'}	{'Fairy tales'}	East o the sun and west o the moon and other Norse fairy tales		1896
Andersen H C Hans Christian	B146	{3162777, 8983777}	{'Juvenile audience', 'Fairy tales', 'Juvenile literature'}	{'uc2.ark+=13960=t1td9p88s'}	{'Fairy tales'}	Stories  fairy tales		1875
Sharp William	B7552	{6766768}	{'Juvenile audience'}	{'nyp.33433086985888'}	{'Folklore', 'Celts'}	The laughter of Peterkin  a retelling of old tales of the Celtic wonderworld		1897
Davis Julia	B2110	{3233830}	{'Juvenile audience', 'Juvenile literature'}	{'mdp.39015024085154'}	{'Juvenile fiction', 'Folklore', 'Vikings', 'Denmark'}	The swords of the Vikings  stories from the works of Saxo Grammaticus		1928
Wilhelm Richard	B8811	{3212129}		{'uc2.ark+=13960=t79s1p389'}	{'China', 'Legends', 'Fairy tales'}	The Chinese fairy book		1921
Montalba Anthony R Anthony Reubens	B5385	{9014931, 8413623}	{'Juvenile audience'}	{'nyp.33433068199508'}	{'Fairy tales'}	Fairy tales from all nations		1850
Pulszky Ferencz Aurelieus	B6737	{8440410}		{'umn.31951002073890h', 'umn.31951p00416391a'}	{'Hungary', 'Folklore'}	Tales and traditions of Hungar		1851
Forrester Alfred Henry	B2802	{8964197}		{'nyp.33433081613584'}	{'Legends'}	Fairy footsteps or Lessons from legends		1861
Roberts Charles George Douglas Sir	B7080	{6672002}	{'Folklore'}	{'uc2.ark+=13960=t4bn9z67m'}	{'Animals', '(OCoLC)fst00809468', 'Folklore'}	The kindred of the wild		1905
Gregory Lady	B2981	{6865273}	{'Juvenile audience'}	{'inu.32000007045786'}	{'Ireland', 'Folklore'}	The Kiltartan wonder book		1911
Stedman Douglas C	B7586	{6706047}	{'Juvenile audience'}	{'uc1.31158003962957'}	{'fl. 1071', 'Norman period, 1066-1154', 'England', 'Hereward', 'History', 'Folklore'}	The story of Hereward the champion of England		1909
Judson Katharine Berry	B4424	{3217727}	{'Folklore'}	{'mdp.39015066037014'}		Myths and legends of British N		1917
Bain R Nisbet Robert Nisbet	B863	{6641659}		{'uc2.ark+=13960=t1jh3f42g'}	{'Folklore, Ruthenian', 'Fairy tales'}	Cossack fairy tales and folkta		1894
Jón Árnason	B4219	{9434342}		{'mdp.39015027961682', 'mdp.39015008708425'}	{'Translations into English', 'Tales', 'Iceland', 'Old Norse literature', 'Fairy tales'}	Icelandic legends		1864
Fleming Rachel M Rachel Mary	B2727	{3225642}	{'Bibliographies'}	{'njp.32101068185956'}	{'Folklore'}	Stories from the early world		1923
Wratislaw Albert Henry	B8935	{6731465}	{'Folklore'}	{'uc2.ark+=13960=t09w0ct58'}		Sixty folktales from exclusive		1889
Seton Ernest Thompson	B7694	{8985574}		{'uc2.ark+=13960=t56d5qn65'}	{'Animals', 'Anecdotes', 'Folklore'}	Lives of the hunted		1901
Leland Charles Godfrey	B4874	{8751522}	{'Bibliographies'}	{'nyp.33433081750147'}	{'Indians of North America', 'New England', 'Algonquian mythology', 'Tales', 'Legends', 'Algonquian Indians', 'Folklore'}	The Algonquin legends of New England  or Myths and folk lore of the Micmac Passamaquoddy and Penobscot tribes		1884
Grimm Jacob	B3177	{3202629}	{'Bibliographies'}	{'nyp.33433086948332'}	{'Fairy tales'}	Grimms fairy tales		1863
Jacobs Joseph	B4216	{6455904, 3143372, 8914095, 3161555, 8787991, 8953016, 6212927}	{'Juvenile audience', 'Bibliographies'}	{'wu.89094334638', 'mdp.39015005158608'}	{'Great Britain', 'Fairy tales', 'England', 'Folklore'}	More English fairy tales		1894
Rattray R S Robert Sutherland	B6905	{8963210}		{'mdp.39015019198087'}	{'Hausa language', 'Hausa (African people)', 'Folklore', 'Texts'}	Hausa Folklore customs proverbs etc coll and transliterated with English transl and notes		1913
Harris Joel Chandler	B3985	{8822905}	{'Mixed'}	{'uva.x000275026'}	{'Music', 'Folk songs, English', 'Animals', 'Southern States', 'African Americans', 'Remus, Uncle (Fictitious character)', 'Folklore'}	Uncle Remus and his friends old plantation stories songs and ballads with sketches of Negro character		1892
Macgowan J John	B5244	{2442025, 6834275}		{'mdp.39015004766120'}	{'(OCoLC)fst00930306', '(OCoLC)fst01206073', 'Tales, Chinese', 'Tales', '(OCoLC)fst01142246', 'China', 'Folklore'}	Chinese folklore tales		1910
Craigie William A William Alexander Sir	B1391	{6648773}	{'Bibliographies'}	{'mdp.39015062219939'}	{'Scandinavia', 'Social life and customs', 'Folklore'}	Scandinavian folklore illustrations of the traditional beliefs of the northern peoples		1896
Haigh Richmond	B3916	{3211254}		{'uc2.ark+=13960=t5bc3vd2w'}	{'Social life and customs', 'Ethiopia', 'Folklore'}	An Ethiopian saga		1919
Jatakas	B4364	{3175878}		{'uc2.ark+=13960=t49p2xg2r'}	{'India', 'Folklore'}	The giant crab		1897
Croker Thomas Crofton	B1329	{5152094}		{'hvd.32044014453831'}	{'Ireland', 'Scotland', 'Legends', 'Mabinogion', 'Folklore'}	Fairy legends and traditions of the South of Ireland		1826
Jacobs Joseph	B4381	{6455904, 8914095, 3161555, 8787991, 8953016, 6212927}		{'uc2.ark+=13960=t8gf0r77f'}	{'India', 'Fairy tales', 'Folklore'}	Indian fairy tales		1892
Schoolcraft Henry Rowe	B7319	{8703674}		{'inu.39000005938035'}	{'Indians of North America', 'Hiawatha', 'Legends', '15th cent', 'Algonquian Indians', 'Folklore'}	The myth of Hiawatha and other oral legends mythologic and allegoric of the North American Indians		1856
Mijatović Elodie Lawton	B5233	{6668584}		{'inu.39000005852889'}	{'Serbia', 'Folklore'}	Serbian folklore		1899
Parker K Langloh Katie Langloh	B6448	{8847978}		{'mdp.39015008788187'}	{'Tales, Australian aboriginal', 'Folklore', 'Australia'}	Australian legendary tales folklore of the Noongahburrahs as told to the piccaninnies		1896
MacManus Seumas	B5752	{3268766}		{'uc2.ark+=13960=t5bc46q2f'}	{'Ireland', 'Folklore'}	In chimney corners		1908
Frere Mary	B2838	{8663653, 8772463}		{'uc1.b4395430'}	{'India', 'Folklore'}	Old Deccan days or Hindoo fairy legends current in southern India		1889
Pease Howard	B6705	{6773222}		{'uc2.ark+=13960=t9862t682'}	{'England', 'Northumberland', 'Folklore'}	Tales of Northumbria		1899
Newman May Wentworth	B6095	{8659390}	{'Juvenile audience'}	{'njp.32101063604621'}	{'Fairy tales'}	Fairy tales from gold lands		1867
Barlow Jane	B810	{8810960, 3170192, 8941391}		{'uc1.b3579189'}	{'Ireland', 'Tales'}	Irish ways		1909
Jacks L P Lawrence Pearsall	B4378	{3221566}		{'uc2.ark+=13960=t6nz83c5m'}	{'English fiction'}	The legends of Smokeover		1921
